> Ready on http://192.168.1.90:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
> Access locally via http://localhost:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
> Access on network via http://192.168.1.90:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
2025-01-11T13:01:37.733Z - GET /
2025-01-11T13:01:37.896Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:01:37.903Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:01:37.910Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:01:37.912Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:01:37.915Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:01:37.916Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:01:37.916Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:01:37.917Z - GET /_next/static/chunks/app/page-e70b07fe1f169291.js
2025-01-11T13:01:37.922Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:01:37.947Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:01:38.015Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:01:38.051Z - GET /customers?_rsc=1wtp7
2025-01-11T13:01:38.059Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:01:38.063Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:01:38.067Z - GET /favicon.ico
2025-01-11T13:01:38.078Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:01:38.129Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:01:38.144Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:01:38.155Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:01:38.159Z - GET /_next/static/chunks/736-a58d37d1b8d6336e.js
2025-01-11T13:01:38.159Z - GET /_next/static/chunks/app/customers/page-bc7f0b2a4a66e32f.js
2025-01-11T13:01:41.561Z - GET /api/customers
2025-01-11T13:01:45.840Z - GET /api/customers
2025-01-11T13:02:07.195Z - GET /
2025-01-11T13:02:07.211Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:02:07.216Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:02:07.351Z - GET /customers?_rsc=1wtp7
2025-01-11T13:02:07.353Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:02:07.359Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:02:07.361Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:02:07.365Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:02:07.367Z - GET /_next/static/chunks/736-a58d37d1b8d6336e.js
2025-01-11T13:02:07.368Z - GET /_next/static/chunks/app/customers/page-bc7f0b2a4a66e32f.js
2025-01-11T13:02:07.369Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:02:07.372Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:02:07.375Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:02:13.463Z - GET /
2025-01-11T13:02:13.624Z - GET /customers?_rsc=1wtp7
