> Ready on http://192.168.1.90:\\.\pipe\8028175a-216d-40fe-871c-5a436d7d8f16
> Access locally via http://localhost:\\.\pipe\8028175a-216d-40fe-871c-5a436d7d8f16
> Access on network via http://192.168.1.90:\\.\pipe\8028175a-216d-40fe-871c-5a436d7d8f16
2025-01-11T13:08:21.128Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:08:21.189Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:08:21.192Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:08:21.199Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:21.639Z - GET /
2025-01-11T13:09:21.751Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:21.787Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:21.796Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:21.802Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:21.806Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:21.820Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:21.823Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:21.826Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:22.463Z - GET /
2025-01-11T13:09:22.559Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:22.561Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:22.563Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:22.565Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:22.567Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:22.571Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:22.578Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:22.581Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:22.927Z - GET /
2025-01-11T13:09:22.982Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:22.985Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:22.988Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:22.989Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:22.991Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:22.993Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:22.997Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:22.999Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:23.090Z - GET /
2025-01-11T13:09:23.144Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:23.147Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:23.149Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:23.150Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:23.152Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:23.154Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:23.155Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:23.159Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:23.360Z - GET /
2025-01-11T13:09:23.414Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:23.416Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:23.417Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:23.418Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:23.420Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:23.423Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:23.426Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:23.428Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:23.534Z - GET /
2025-01-11T13:09:23.587Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:23.588Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:23.590Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:23.592Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:23.593Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:23.595Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:23.600Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:23.602Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:23.696Z - GET /
2025-01-11T13:09:23.750Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:23.753Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:23.754Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:23.756Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:23.758Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:23.761Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:23.764Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:23.766Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:23.844Z - GET /
2025-01-11T13:09:23.898Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:23.900Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:23.901Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:23.904Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:23.905Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:23.907Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:23.910Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:23.913Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:23.995Z - GET /
2025-01-11T13:09:24.049Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:24.051Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:24.052Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:24.053Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:24.054Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:24.064Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:24.066Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:24.067Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:24.137Z - GET /
2025-01-11T13:09:24.190Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:24.192Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:24.193Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:24.195Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:24.197Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:24.202Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:24.205Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:24.207Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:24.271Z - GET /
2025-01-11T13:09:24.323Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:24.325Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:24.327Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:24.328Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:24.329Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:24.332Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:24.338Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:24.339Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:24.435Z - GET /
2025-01-11T13:09:24.490Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:24.491Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:24.493Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:24.494Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:24.495Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:24.499Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:24.502Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:24.504Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:24.604Z - GET /
2025-01-11T13:09:24.658Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:24.660Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:24.661Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:24.662Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:24.664Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:24.669Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:24.672Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:24.674Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:24.754Z - GET /
2025-01-11T13:09:24.810Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:24.811Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:24.813Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:24.814Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:24.816Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:24.819Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:24.823Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:24.825Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:24.890Z - GET /
2025-01-11T13:09:24.943Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:24.944Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:24.946Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:24.947Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:24.948Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:24.952Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:24.956Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:24.958Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:25.092Z - GET /
2025-01-11T13:09:25.146Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:25.148Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:25.150Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:25.151Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:25.153Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:25.158Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:25.161Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:25.163Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:26.361Z - GET /settings?_rsc=1iwkq
2025-01-11T13:09:57.002Z - GET /
2025-01-11T13:09:57.358Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:09:57.482Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:09:57.484Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:09:57.486Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:09:57.487Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:09:57.488Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:09:57.489Z - GET /_next/static/chunks/app/page-e70b07fe1f169291.js
2025-01-11T13:09:57.497Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:09:57.498Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:09:57.687Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:09:57.769Z - GET /customers?_rsc=1wtp7
2025-01-11T13:09:57.771Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:09:57.774Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:09:57.775Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:09:57.777Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:09:57.778Z - GET /favicon.ico
2025-01-11T13:09:57.834Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:09:57.837Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:09:57.838Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:09:57.840Z - GET /_next/static/chunks/736-a58d37d1b8d6336e.js
2025-01-11T13:09:57.840Z - GET /_next/static/chunks/app/customers/page-bc7f0b2a4a66e32f.js
2025-01-11T13:10:02.385Z - GET /settings?_rsc=1iwkq
2025-01-11T13:10:02.393Z - GET /_next/static/chunks/app/settings/page-2525888b7c19c94f.js
