> Ready on http://192.168.1.90:\\.\pipe\beebeb5a-f83f-4a93-872b-4c73a9cdd037
> Access locally via http://localhost:\\.\pipe\beebeb5a-f83f-4a93-872b-4c73a9cdd037
> Access on network via http://192.168.1.90:\\.\pipe\beebeb5a-f83f-4a93-872b-4c73a9cdd037
2025-01-11T13:11:51.363Z - GET /settings
2025-01-11T13:11:51.565Z - GET /?_rsc=1ivqj
2025-01-11T13:11:51.574Z - GET /customers?_rsc=1ivqj
2025-01-11T13:11:51.583Z - GET /purchases?_rsc=1ivqj
2025-01-11T13:11:51.617Z - GET /accounting?_rsc=1ivqj
2025-01-11T13:11:51.621Z - GET /inventory?_rsc=1ivqj
2025-01-11T13:11:52.852Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:11:52.865Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:11:52.868Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:11:52.870Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:11:56.176Z - GET /
2025-01-11T13:11:56.224Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:11:56.226Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:11:56.228Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:11:56.228Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:11:56.229Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:11:56.231Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:11:56.236Z - GET /_next/static/chunks/app/page-e70b07fe1f169291.js
2025-01-11T13:11:56.238Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:11:56.240Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:11:56.252Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:11:56.290Z - GET /customers?_rsc=1wtp7
2025-01-11T13:11:56.293Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:11:56.295Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:11:56.298Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:11:56.300Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:11:56.304Z - GET /favicon.ico
2025-01-11T13:11:56.317Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:11:56.319Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:11:56.321Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:11:56.493Z - GET /
2025-01-11T13:11:56.540Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:11:56.541Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:11:56.541Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:11:56.542Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:11:56.542Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:11:56.543Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:11:56.547Z - GET /_next/static/chunks/app/page-e70b07fe1f169291.js
2025-01-11T13:11:56.550Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:11:56.551Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:11:56.562Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:11:56.599Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:11:56.602Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:11:56.604Z - GET /customers?_rsc=1wtp7
2025-01-11T13:11:56.605Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:11:56.607Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:11:56.608Z - GET /favicon.ico
2025-01-11T13:11:56.611Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:11:56.616Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:11:56.617Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:11:56.803Z - GET /
2025-01-11T13:11:56.851Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:11:56.852Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
